DATA: XIAOESP32: ✅ env_chamber | temperature: 27.62 °C | humidity: 61.02 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 27.61 °C | humidity: 60.85 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 27.61 °C | humidity: 60.85 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 27.62 °C | humidity: 60.97 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 27.63 °C | humidity: 60.06 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 27.63 °C | humidity: 60.05 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 27.63 °C | humidity: 60.27 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 27.63 °C | humidity: 60.26 %RH
SHT30 ready
DATA: XIAOESP32: ✅ env_chamber | temperature: 27.63 °C | humidity: 60.18 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 27.63 °C | humidity: 60.05 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 27.65 °C | humidity: 59.99 %RH
DATDATA: XIAOESP32: ✅ env_chamber | temperature: 27.65 °C | humidity: 59.46 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 27.63 °C | humidity: 59.65 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 27.62 °C | humidity: 59.83 %RH
SHT30 ready
DATA: XIAOESP32: ✅ env_chamber | temperature: 27.65 °C | humidity: 59.85 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 27.62 °C | humidity: 60.01 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 27.65 °C | humidity: 59.97 %RH
DATDATA: XIAOESP32: ✅ env_chamber | temperature: 20.50 °C | humidity: 19.43 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 20.43 °C | humidity: 19.28 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 20.37 °C | humidity: 19.28 %RH
DATA: XIAOESP32:
✅ env_chamber | temperature: 20.34 °C | humidity: 19.20 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 20.32 °C | humidity: 19.44 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 20.23 °C | humidity: 19.40 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 20.19 °C | humidity: 19.37 %RH
DATA: XIAOESP32: ✅ env_chamber | temperature: 20.16 °C | humidity: 19.33 %RH
