SHT30 ready
DATA: XIAOESP32: ✅ Drybox | Temp: 27.31 °C | Hum: 35.97 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.29 °C | Hum: 36.03 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.30 °C | Hum: 36.01 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.30 °C | Hum: 3DATA: XIAOESP32: ✅ Drybox | Temp: 27.10 °C | Hum: 45.99 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.10 °C | Hum: 45.97 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.07 °C | Hum: 45.91 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.07 °C | Hum: 45.96 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.10 °C | Hum: 46.30 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.06 °C | Hum: 46.41 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.06 °C | Hum: 46.01 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.06 °C | Hum: 46.26 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.07 °C | Hum: 46.34 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.06 °C | Hum: 46.07 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.04 °C | Hum: 46.17 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.03 °C | Hum: 46.35 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.04 °C | Hum: 46.51 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.03 °C | Hum: 46.56 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.02 °C | Hum: 45.39 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.03 °C | Hum: 43.25 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.02 °C | Hum: 41.85 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 27.02 °C | Hum: 40.62 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.99 °C | Hum: 39.55 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.97 °C | Hum: 38.92 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.99 °C | Hum: 38.32 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.97 °C | Hum: 38.21 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.96 °C | Hum: 37.78 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.97 °C | Hum: 36.97 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.96 °C | Hum: 35.66 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.94 °C | Hum: 35.76 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.96 °C | Hum: 36.05 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.96 °C | Hum: 36.08 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.93 °C | Hum: 36.09 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.93 °C | Hum: 36.35 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.92 °C | Hum: 36.90 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.93 °C | Hum: 37.74 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.94 °C | Hum: 38.13 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.93 °C | Hum: 38.92 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.92 °C | Hum: 39.68 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.92 °C | Hum: 40.18 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.92 °C | Hum: 40.78 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.90 °C | Hum: 41.15 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.89 °C | Hum: 40.93 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.89 °C | Hum: 41.31 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.89 °C | Hum: 41.69 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.89 °C | Hum: 42.25 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.89 °C | Hum: 42.53 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.89 °C | Hum: 43.09 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.89 °C | Hum: 43.38 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.86 °C | Hum: 43.59 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.89 °C | Hum: 43.75 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.87 °C | Hum: 43.77 %RH
DATA: XIAOESP32: ✅ Drybox | Temp: 26.87 °C | Hum: 43.67 %RH
